status	path	width	height	changedPixels	totalPixels	diffRatio	maxChannelDelta	comparison
A	tdesign-component/example/test/goldens/cascader_horizontal-locator_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_horizontal-locator_opened_dark-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_horizontal-locator_opened_light.png	375	812	92971	304500	0.30532348	255	example/test/goldens/cascader_horizontal-locator_opened_light-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_horizontal_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_horizontal_opened_dark-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_horizontal_opened_light.png	375	812	92971	304500	0.30532348	255	example/test/goldens/cascader_horizontal_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/cascader_page_dark.png	375	1023	163272	383625	0.42560313	231	example/test/goldens/cascader_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/cascader_page_light.png	375	1023	143061	383625	0.37291887	229	example/test/goldens/cascader_page_light-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_search_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_search_opened_dark-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_search_opened_light.png	375	812	63841	304500	0.20965846	255	example/test/goldens/cascader_search_opened_light-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_subtitle_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_subtitle_opened_dark-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_subtitle_opened_light.png	375	812	50356	304500	0.16537274	255	example/test/goldens/cascader_subtitle_opened_light-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_tab_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_tab_opened_dark-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_tab_opened_light.png	375	812	49878	304500	0.16380296	255	example/test/goldens/cascader_tab_opened_light-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_vertical-locator_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_vertical-locator_opened_dark-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_vertical-locator_opened_light.png	375	812	93423	304500	0.30680788	255	example/test/goldens/cascader_vertical-locator_opened_light-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_vertical_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_vertical_opened_dark-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_vertical_opened_light.png	375	812	93423	304500	0.30680788	255	example/test/goldens/cascader_vertical_opened_light-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_with-title_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_with-title_opened_dark-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_with-title_opened_light.png	375	812	93423	304500	0.30680788	255	example/test/goldens/cascader_with-title_opened_light-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_without-title_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_without-title_opened_dark-develop-diff-current.png
A	tdesign-component/example/test/goldens/cascader_without-title_opened_light.png	375	812	92399	304500	0.30344499	255	example/test/goldens/cascader_without-title_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/checkbox_page_dark.png	375	2369	18276	888375	0.02057239	219	example/test/goldens/checkbox_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/checkbox_page_light.png	375	2369	20526	888375	0.02310511	255	example/test/goldens/checkbox_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/collapse_page_dark.png	375	1367	12064	512625	0.02353377	162	example/test/goldens/collapse_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/collapse_page_light.png	375	1367	9336	512625	0.01821214	161	example/test/goldens/collapse_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/divider_page_dark.png	375	1009	376	378375	0.00099372	1	example/test/goldens/divider_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/divider_page_light.png	375	1009	1682	378375	0.00444533	1	example/test/goldens/divider_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/drawer_basic_opened_dark.png	375	1024	1056	384000	0.00275000	1	example/test/goldens/drawer_basic_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/drawer_basic_pressed_dark.png	375	1024	1056	384000	0.00275000	1	example/test/goldens/drawer_basic_pressed_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/drawer_footer_opened_dark.png	375	1024	1848	384000	0.00481250	1	example/test/goldens/drawer_footer_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/drawer_icon_opened_dark.png	375	1024	1056	384000	0.00275000	1	example/test/goldens/drawer_icon_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/drawer_large_title_opened_dark.png	375	1024	1056	384000	0.00275000	1	example/test/goldens/drawer_large_title_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/drawer_left_opened_dark.png	375	1024	1056	384000	0.00275000	1	example/test/goldens/drawer_left_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/drawer_right_opened_dark.png	375	1024	1056	384000	0.00275000	1	example/test/goldens/drawer_right_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/drawer_small_title_opened_dark.png	375	1024	1056	384000	0.00275000	1	example/test/goldens/drawer_small_title_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/dropdown_menu_double_column_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/dropdown_menu_double_column_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/dropdown_menu_multiple_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/dropdown_menu_multiple_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/dropdown_menu_overscroll_opened_dark.png	375	812	750	304500	0.00246305	1	example/test/goldens/dropdown_menu_overscroll_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/dropdown_menu_overscroll_opened_light.png	375	812	375	304500	0.00123153	1	example/test/goldens/dropdown_menu_overscroll_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/dropdown_menu_single_column_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/dropdown_menu_single_column_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/dropdown_menu_single_opened_dark.png	375	812	1500	304500	0.00492611	1	example/test/goldens/dropdown_menu_single_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/dropdown_menu_sorter_opened_dark.png	375	812	750	304500	0.00246305	1	example/test/goldens/dropdown_menu_sorter_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/empty_page_dark.png	375	1098	115640	411750	0.28085003	237	example/test/goldens/empty_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/empty_page_light.png	375	1098	53686	411750	0.13038494	255	example/test/goldens/empty_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/footer_page_dark.png	375	891	64340	334125	0.19256266	237	example/test/goldens/footer_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/footer_page_light.png	375	891	35641	334125	0.10666966	255	example/test/goldens/footer_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/form_page_dark.png	375	1123	4442	421125	0.01054794	1	example/test/goldens/form_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/form_page_disabled_dark.png	375	1123	4125	421125	0.00979519	1	example/test/goldens/form_page_disabled_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/form_page_disabled_light.png	375	1123	4875	421125	0.01157614	1	example/test/goldens/form_page_disabled_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/form_page_light.png	375	1123	5292	421125	0.01256634	1	example/test/goldens/form_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/form_page_vertical_dark.png	375	1390	4067	521250	0.00780240	1	example/test/goldens/form_page_vertical_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/form_page_vertical_light.png	375	1390	4167	521250	0.00799424	1	example/test/goldens/form_page_vertical_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/image_page_dark.png	375	812	68985	304500	0.22655172	230	example/test/goldens/image_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/image_page_light.png	375	812	68957	304500	0.22645977	230	example/test/goldens/image_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_capsule_opened_dark.png	375	812	1621	304500	0.00532348	1	example/test/goldens/indexes_capsule_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_capsule_opened_light.png	375	812	551	304500	0.00180952	1	example/test/goldens/indexes_capsule_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_capsule_selected_dark.png	375	812	1621	304500	0.00532348	1	example/test/goldens/indexes_capsule_selected_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_capsule_selected_light.png	375	812	551	304500	0.00180952	1	example/test/goldens/indexes_capsule_selected_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_letter_opened_dark.png	375	812	2128	304500	0.00698851	1	example/test/goldens/indexes_letter_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_letter_selected_dark.png	375	812	1775	304500	0.00582923	1	example/test/goldens/indexes_letter_selected_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_number_opened_dark.png	375	812	1600	304500	0.00525452	1	example/test/goldens/indexes_number_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_number_selected_dark.png	375	812	1600	304500	0.00525452	1	example/test/goldens/indexes_number_selected_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_page_dark.png	375	812	505	304500	0.00165846	194	example/test/goldens/indexes_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/indexes_page_light.png	375	812	506	304500	0.00166174	255	example/test/goldens/indexes_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/input_page_dark.png	375	3394	378940	1272750	0.29773325	231	example/test/goldens/input_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/input_page_light.png	375	3394	378618	1272750	0.29748026	255	example/test/goldens/input_page_light-develop-diff-current.png
